id;id_str;screen_name;location;description;url;followers_count;friends_count;listed_count;created_at;favourites_count;verified;statuses_count;lang;name;bot
3982731976;3982731976;mcgucket_bot;;A bot that tweets every line said by Fiddleford McGucket on Gravity Falls every 30 minutes.;;1129;7;2;Sat Oct 17 22:35:31 +0000 2015;0;FALSE;23557;en;McGucket bot;1
8,41E+19;8.41E+17;BowieK66;;;;0;22;0;13/03/2017 22:21;0;FALSE;1;en;MJ Kuhn;1
2768374981;2768374981;ducknoteprice;;;;3;0;3;Mon Aug 25 23:17:59 +0000 2014;0;FALSE;1050;en;duckNote;1
3304189373;3304189373;robotrecipes;robot kitchen;tasty recipes for robot // not for human // a bot by @inky (human) // source: https://t.co/3SFVj3be16;http://t.co/PdagJGqVMR;505;13;49;Sat May 30 23:42:16 +0000 2015;0;FALSE;5109;en;robot recipes;1
3224289024;3224289024;everyumlaut;;bot by @dbaker_h;;15;0;11;Sat May 23 14:39:21 +0000 2015;0;FALSE;31365;en-gb;ÌÇvÌÇrÌÀ Ì_mlÌ_Ì_‡¼Ñ;1
7,30E+19;7.30E+17;glossatory;Australah;SOCIAL ON GLOSSATORY: the branch of the considered addered poker by looses - a bot by @bombinans;https://t.co/hcUNcUdlcq;16;1;4;05/11/2016 05:45;0;FALSE;1832;en;GLOSSATORY;1
8,20E+19;8.20E+17;Fancypants6047;vancouver;;;41;394;0;13/01/2017 19:37;3;FALSE;4;en;Fancypants;1
2602217174;2602217174;Hedgehogize;Moebius;#NAME?;http://t.co/a1UvEiAl3u;549;370;12;Thu Jul 03 20:37:48 +0000 2014;12;FALSE;4658;en;YOU the Hedgehog;1
8,33E+19;8.33E+17;jamieph93986621;;I wasn't bor ysterday,  was born tomorrow;;0;60;0;Sun Feb 19 03:47:42 +0000 2017;0;FALSE;10;en;Jamie Phillips;1
8,25E+19;8.25E+17;NothemDonella;;Your diac No;;0;43;4;Fri Jan 27 15:51:34 +0000 2017;48;FALSE;86;en;Donella Nothem;1
2215073972;2215073972;pony_strategies;;Best Strategy Guides for PÌ«neis Brilhantes series;;102;3;21;Tue Nov 26 03:54:32 +0000 2013;0;FALSE;10873;en;Ebooks Brilhantes;1
2903085721;2903085721;imgconvos;;@-mention me in a tweet from any reply thread between the image bots i follow, and i'll make a gif out of their conversation // by @thricedotted;https://t.co/1nSo6q0iJq;578;17;96;Mon Nov 17 21:22:30 +0000 2014;0;FALSE;5234;en;‰_ image bot convos ‰_;1
8,27E+19;8.27E+17;StobbeKindra;;prabida;;1;34;0;Wed Feb 01 18:07:24 +0000 2017;68;FALSE;98;en;Kindra Stobbe;1
2529023630;2529023630;cgagraphics;#botALLY;8086 in Turbo Mode ‰Û¢ by @derekarnold;http://t.co/HGEP3DYuKt;1456;12;122;Wed May 28 04:13:22 +0000 2014;4;FALSE;72096;en;cga.graphics;1
4629779173;4629779173;ngthaohuong97;;Female;None;0;1;0;Tue Dec 22 09:15:30 +0000 2015;0;FALSE;0;en;Helen Nguyen;1
